views,likes,dislikes,comment,published,duration,category,predicted_adview
734101,3123,234,1796,1647,376,4,1574.1256
641389,2039,144,174,807,355,7,2704.7576
4184,141,4,34,1870,195,7,2515.5098
316271,8694,2385,1652,1874,401,5,1945.4131
526822,396,144,54,1976,258,7,1875.7697
70414,278,13,18,1116,248,7,1029.8444
1551590,15431,387,2685,1288,249,2,26.813375
230173,1527,39,70,1483,1398,3,1444.1005
67042,555,17,81,1639,3046,4,2435.3623
3624,10,3,0,608,41,4,1770.7358
10593,175,3,69,1903,312,4,2129.6157
14943,37,2,2,1150,255,4,2422.9316
49981,181,14,8,1288,223,7,1956.984
9682759,6956,3426,321,1714,331,4,1771.7335
2293635,3163,335,582,1166,181,5,2063.8315
828674,1274,323,190,1252,388,4,1281.8931
1414767,1649,71,125,1342,375,7,1603.9763
254011,89,34,10,644,269,4,2047.9192
3454,1,0,0,1012,296,4,454.36755
199116,693,60,34,1202,0,4,2610.9731
122201,318,11,126,177,711,4,1905.6671
217,0,0,0,1831,31,4,2485.9814
2604827,5784,736,233,1088,100,4,1935.8785
81983,130,27,52,1845,192,4,21.498491
1068,23,0,11,1636,669,5,2295.963
380769,197,86,10,1201,3192,4,3113.3088
1024315,8508,379,780,1882,357,2,2772.3235
32985,168,19,39,2051,0,8,2134.0527
6697,105,3,4,1964,219,7,821.2673
2463,3,2,0,1662,318,3,2033.4237
17216,89,3,5,1046,1230,4,2522.6306
411385,452,104,328,1738,604,4,2481.4773
593623,5661,97,1200,1764,256,6,2145.836
49690,182,11,27,1759,179,5,2424.8691
1056913,1252,197,247,1081,0,7,2494.3296
333619,6290,123,3621,1873,368,4,1798.5477
335072,2517,156,575,1899,263,4,2554.4783
13730269,73844,2225,5635,653,430,7,2542.2905
8432,31,0,1,1655,133,7,1499.4183
38754,21,8,3,1898,183,4,1654.2853
3703,11,1,2,1049,456,4,1889.4958
1695919,6034,350,171,794,278,7,2636.1345
191354,302,59,71,830,81,8,976.7699
956,2,1,0,2017,204,4,950.8247
62122,38,11,2,949,947,4,2356.1353
32002,13,1,0,854,873,4,2355.3528
480854,1085,141,100,1521,0,4,1758.4553
1968232,5662,607,417,1627,163,4,2551.8499
315161,4554,46,316,1226,224,2,1764.4081
5765,399,2,15,1990,273,4,2075.0938
650771,5352,102,157,1047,28,2,2528.2754
774061,477,173,73,1209,288,8,2683.3284
50974,1174,33,291,2096,575,6,1145.0381
2456732,38931,1142,23618,1852,335,2,2611.6733
11709,19,12,7,525,294,4,2180.8633
4590,19,1,0,1945,154,4,1684.6924
498147,527,92,35,1270,0,5,1956.7095
135282,312,38,65,1522,761,4,1469.1885
219969,1244,21,122,1409,179,2,1785.5138
13085,44,15,2,763,105,3,1832.2136
933532,7761,123,465,1488,650,4,1713.0605
1156562,11007,336,1542,1185,151,2,1422.124
74961,553,409,349,1328,535,4,2169.6768
396659,487,47,30,685,156,4,2153.2524
136085,722,55,55,1540,227,4,1070.9043
4878,74,8,5,1644,201,2,733.0576
43272,439,4,37,987,882,4,2565.127
1171469,1412,244,65,472,730,4,2828.4648
385699,262,80,19,1748,0,4,2357.603
1061878,6114,1409,105,2041,89,4,1956.3933
7959,19,1,9,1554,21,4,1936.2355
34691,90,5,5,1388,301,4,2350.1519
105540,140,23,11,1088,0,4,2609.4946
102331,211,12,14,1562,40,4,2087.142
87,0,0,0,1870,75,4,2772.2932
164411,572,119,1771,1808,637,4,780.3362
1137,28,1,0,1863,109,7,2235.6614
586205,390,194,46,1201,1457,4,2148.8777
859902,4150,809,5184,1856,454,2,1840.7915
15034,262,34,203,1461,468,8,1476.72
279854,8013,698,1603,1428,553,4,1918.8383
49481,307,16,159,1037,473,4,1046.3888
523222,3660,161,1268,1828,632,1,1630.7465
39273,32,24,14,553,210,1,2281.3525
5159766,940,572,68,793,86,4,2256.8662
8429133,10516,5764,1565,1166,0,4,1228.3407
972017,364,238,12,1693,303,4,2735.4856
12652,11,0,1,1043,760,4,2366.1208
672914,5281,452,289,2045,164,4,2097.368
117911,169,11,8,1567,103,5,2296.041
796015,5550,190,375,1515,314,4,383.28067
62067,258,21,24,1439,197,7,1749.0153
25980,22,1,10,38,638,4,146.23538
41904,65,11,2,944,57,4,2435.437
178074,374,27,73,1386,2648,7,2544.5835
10249,33,3,5,1861,341,5,2354.3723
2549835,932,979,122,1825,156,4,1783.0399
2326725,4183,317,549,1416,0,5,2279.2383
9520543,21779,1521,383,935,209,4,2956.1333
168805,264,57,34,1448,0,4,2289.7375
694405,3418,342,420,2065,0,5,1014.29535
12569,15,2,4,1463,0,4,2621.9036
15513,79,8,7,492,256,2,607.1557
251371,155,34,76,1679,162,8,2411.4702
198969,699,125,36,676,1234,6,1908.4575
2171467,12190,970,2440,1793,496,6,1949.087
16594,36,3,1,1300,260,4,1776.5354
142463,223,6,3,1157,60,4,2463.485
52870,83,18,8,850,0,5,1215.4032
93782,226,6,11,1692,127,5,2268.0698
26939,25,19,1,989,641,3,2575.9575
177205,224,31,21,1227,0,7,2231.9824
218473,266,64,15,1761,0,4,1841.1998
3887,10,0,2,1475,79,4,2658.131
125,0,0,0,1009,21,4,2467.7688
739819,722,192,126,1880,274,7,712.7561
409529,632,187,53,1640,0,4,21.498491
21139,35,1,2,79,305,4,940.3857
27958,22,4,5,579,2404,4,2549.2717
44331,762,16,127,1008,829,1,2378.1873
264881,632,135,100,1728,0,4,2374.629
270,7,0,12,1951,428,4,2520.451
3568,38,0,2,1996,709,7,2127.607
820226,1529,203,69,1657,269,8,2205.3352
246074,1179,45,62,1736,490,4,904.1392
34729,72,17,3,1303,0,5,2178.4749
217341,358,13,3,212,233,4,2299.7815
44260,1657,6,69,1607,291,4,2662.0735
1050,3,1,0,2061,637,4,2413.483
1096,1,0,2,1884,30,4,2135.9197
1718530,7898,202,639,1552,239,7,1527.2588
326896,2603,215,1031,1864,796,6,2379.043
31920,128,18,14,712,288,7,2139.6958
390756,879,148,38,1688,229,5,2339.2927
90589,92,24,8,1233,0,5,2218.2144
513766,514,180,80,1504,0,4,2477.3096
1176133,1551,681,87,1915,610,4,763.2387
826711,2965,200,306,1777,153,4,1563.9736
265875,3856,184,614,1276,1576,4,2411.1335
182314,2039,254,628,839,180,4,2688.4421
241072,10220,426,5370,1890,602,6,1700.921
13222604,119377,8688,1803,1367,293,4,1504.2471
274945,654,60,25,1182,376,4,21.498491
371461,677,17,17,811,274,5,2385.7175
423627,521,187,132,751,2393,4,2143.4265
1767970,10891,716,3818,1868,457,4,1338.5782
138825,186,33,11,1236,0,5,1649.3724
195192,326,38,19,468,242,7,1440.9956
109841,468,27,137,1835,1142,4,1387.5369
31301,40,15,3,639,231,6,1940.4478
2883702,25104,1811,7800,602,378,4,2568.8433
878,30,1,14,1048,26,5,2170.152
569507,1784,144,148,1824,89,4,336.3936
358587,491,55,88,1120,0,7,21.498491
773760,1975,1157,44,2089,3079,5,2407.5747
34438,57,7,9,537,2323,4,1186.7365
165203,273,17,88,1514,0,5,2250.6555
140959,80,42,5,226,0,5,1510.6565
1467412,8363,823,1432,1809,432,3,1439.1438
32504,542,37,29,897,282,4,1599.6857
8660,9,5,2,799,254,4,1123.9647
158705,3049,89,286,1057,369,4,1878.3994
423956,338,85,18,600,254,2,1500.0948
4972,3,0,0,1110,88,4,2767.1
32054,85,17,3,1804,113,4,1260.5074
7839,25,3,9,1468,910,4,1964.8783
96143,911,126,309,1848,111,7,2305.814
54731,134,18,63,1394,878,1,2154.5615
27527,94,13,6,1831,544,1,914.0382
32976,380,19,28,1403,147,7,1445.8861
97083,84,8,9,1274,179,7,1828.4534
19471,224,6,77,1903,2055,4,1941.6584
2905345,2663,711,147,451,0,5,1062.497
2403,8,1,1,1048,78,4,2295.8562
2270430,14373,454,1315,1449,333,2,2646.577
60670,148,19,16,1364,1604,8,1744.1428
12311,12,3,0,1840,554,6,2199.7634
475664,15869,1362,3734,1819,288,6,2477.383
4985,32,0,3,862,201,7,2377.3499
51975,61,3,12,1939,620,4,2640.1812
54168,1105,13,31,1767,272,6,2008.946
1472548,5078,100,284,1552,260,7,912.785
827490,1852,129,219,1745,0,5,1776.902
3861523,23500,398,2847,1518,394,2,2453.9705
317471,2534,192,957,664,589,2,2419.7615
63925,39,7,3,884,188,7,2338.0408
72727,386,102,36,1421,0,7,22.54972
1619,9,1,0,1640,271,7,2404.0474
458471,2922,95,201,1884,421,4,1403.9377
1823597,9331,697,1149,1254,2702,4,2475.2693
57276,29,17,5,1865,230,3,2335.3345
1174507,5988,136,419,723,252,4,2093.7358
342457,1305,78,78,1804,168,4,2588.1807
66535,67,21,7,1510,0,4,2792.402
66822,73,25,7,1900,776,5,2444.0876
9027,13,3,0,1568,0,7,2065.0864
1143158,5909,349,592,1977,259,7,2556.76
1425263,4750,466,344,1372,0,7,1563.502
1181,0,3,3,1058,122,8,2074.376
1932409,5286,2091,2618,1902,309,4,2704.582
184505,385,111,59,1076,419,4,1816.6553
10363731,120281,2216,28873,368,266,7,2532.6611
491,5,0,0,1916,16,4,1835.5004
374660,2155,148,1691,1548,672,4,1672.6271
272008,4473,164,1185,2024,370,4,1991.2397
588908,919,85,283,1013,274,7,2737.2783
4139929,6040,1636,309,878,182,4,1882.1537
89889,263,5,78,1540,504,5,676.3422
424,2,0,0,1863,73,6,1393.4076
47776,38,17,3,1290,280,4,1519.0691
1296,3,1,0,2103,199,4,2381.251
102044,167,14,11,99,370,4,2571.2117
1173,9,0,3,620,112,4,2455.3335
480548,2821,241,574,754,219,5,547.8131
2608957,4741,828,529,1495,0,4,2075.6255
854281,502,301,36,1821,84,4,417.7171
1943017,12401,574,5883,1669,343,6,2452.0374
322561,453,72,17,113,537,4,1473.5104
18689,24,6,1,1589,154,1,1517.6106
370227,543,62,41,636,1254,4,1877.3724
343,3,0,0,1677,46,4,2613.9902
60097,182,113,136,549,178,7,2392.5579
52940,68,3,3,686,42,4,1543.67
2921857,24501,1440,3931,1385,600,4,2168.4497
436277,1822,333,198,1887,112,4,2146.151
2360283,3506,1166,204,1436,0,5,2467.498
39444,33,6,0,804,140,4,1842.3893
356072,1725,166,4373,1822,601,4,2406.163
380114,263,91,37,1872,615,4,618.3465
695295,16016,286,7836,1923,474,4,2321.8223
3504615,25440,657,2000,724,106,7,670.7549
65303,698,28,55,1839,279,4,1407.0621
110157,243,42,12,845,1247,4,2667.0312
686779,1382,116,45,1672,204,4,2582.4902
774192,1001,74,73,123,641,7,1104.4836
26600,7,3,1,554,25,4,2562.9604
3960700,17645,2068,1166,1912,233,4,699.54663
1429905,2138,511,175,1738,0,4,2123.5298
7018,22,2,5,878,723,4,1570.3654
27285,162,10,10,1828,84,4,1436.589
4446,7,0,3,151,398,4,2060.0452
215174,316,60,23,1521,258,4,1085.9507
19686,122,3,3,1352,628,3,1330.6289
7004797,4979,862,223,537,70,4,218.87762
572776,2711,68,289,1547,222,2,2532.1208
141256,181,16,7,899,769,4,1522.4437
76917,361,21,108,1518,1162,4,2139.915
254400,917,73,172,1273,2199,4,737.33826
2017557,11173,1326,3755,1832,425,6,2610.1406
9930303,2027,1556,285,636,112,4,2566.5662
185462,870,22,129,1483,200,4,1970.971
298013,497,28,33,82,285,4,288.92725
92347,64,21,8,1800,0,4,2653.8103
3666458,3420,1251,128,1838,171,4,2632.434
89186,120,35,17,1188,69,4,905.25366
18005,229,7,58,1797,2689,4,2188.5544
401069,2738,20,81,1824,217,7,2503.87
54272,243,12,8,1864,44,4,2062.0686
92069,103,26,7,313,340,4,2224.8765
265021,1056,34,136,1530,197,4,199.17111
46983,134,7,32,1782,102,4,2241.1638
737557,2291,381,1762,1740,611,4,1748.7506
7841531,2239,1407,229,1326,37,4,1677.2208
355256,936,87,279,1348,2313,4,1462.7706
1867172,7718,1161,5014,1566,467,6,1487.9423
1432,3,5,0,1056,26,2,1823.5435
6030,28,2,1,1315,541,4,1285.6637
27532,80,12,22,1308,780,4,2184.1086
31774,140,5,42,890,298,4,2528.773
100864,62,27,4,1880,1064,5,1367.1407
196898,636,56,33,721,503,6,21.498491
3234,5,1,0,1371,21,4,2518.9382
176403,326,89,70,1624,211,8,2154.2498
48329,56,11,5,395,127,7,2768.3315
28074,102,11,11,1179,2957,3,1931.2003
99367,125,19,12,1874,185,4,804.51215
422695,798,40,87,1578,288,4,2251.3562
70249,192,23,55,1756,0,7,1006.14154
74725,281,11,3,1152,75,4,1740.7189
1793533,4465,495,1075,1890,2224,4,2389.937
40180,34,10,3,1422,0,4,2679.7136
6302652,32948,7225,7015,283,695,4,1779.6426
5361,40,11,5,870,138,6,1640.2527
8075698,23525,2472,1598,1579,182,3,2623.5989
1376,3,0,0,1922,51,4,2588.252
288092,282,78,37,919,0,4,1335.3234
64537,151,1,23,1404,681,4,2364.7253
132996,10,8,1,1834,21,4,2176.951
869156,1567,92,269,1826,146,5,370.7161
56837,507,11,120,528,311,7,938.9739
713647,282,158,12,782,653,4,2030.9675
773509,659,527,41,1593,81,4,884.1591
1656732,14790,489,4354,1793,628,4,3016.2295
118635,209,30,85,314,727,1,1993.387
41589,32,24,1,2015,2223,5,2472.7002
1641713,14575,575,1543,1608,559,4,439.45667
167359,960,22,59,1216,1348,4,2855.157
2314537,10051,705,582,1745,353,7,2475.9521
1095225,2910,1682,66,2090,0,5,921.0719
407,8,0,0,1826,733,4,2000.207
750007,5702,469,2433,1734,311,6,1899.884
573083,2035,97,65,1066,1704,4,1873.3087
481568,6137,145,628,2094,152,5,3285.0066
1344946,802,303,113,1814,191,4,2401.141
1905808,6645,617,2431,31,105,4,1141.0211
924087,971,45,39,1507,289,7,1880.4949
235482,418,46,115,1562,445,4,2129.8518
5094,24,0,2,985,156,7,2772.0852
73038,686,15,115,1370,533,6,1791.5486
20667244,29806,10809,4509,1909,249,7,1130.9225
930,18,0,3,1813,404,6,2651.9785
1355947,2508,455,163,843,679,4,1243.2849
4246230,5672,728,616,885,0,5,1823.1598
910941,4511,295,354,1266,311,8,21.498491
278214,409,39,109,1860,188,8,1548.4344
33947,548,46,598,1779,925,4,2269.3027
253991,588,48,86,487,351,5,2709.691
2271527,1622,706,61,1936,144,4,2791.883
1775723,11605,233,1029,351,297,7,21.498491
20880,23,2,2,1021,55,4,2673.2498
287348,274,113,84,730,2707,4,2577.657
2788,3,2,3,672,219,7,1541.358
111800,1296,168,351,1543,278,6,1111.9457
1809,4,0,0,1926,21,4,2570.1582
432319,2,0,1,2024,36,4,1818.0448
113953,213,20,16,997,2633,4,1615.7213
2440,41,0,2,1868,0,4,1480.1812
274563,192,62,16,1866,112,4,950.00305
75484,243,14,55,1092,229,1,21.498491
791923,1756,111,85,1091,962,4,2616.0815
54,0,0,0,1775,17,4,1866.9883
502250,1577,95,141,1080,367,7,2472.9985
301602,697,30,24,1030,308,4,1983.8644
196882,264,50,24,1176,620,4,2044.1366
1063086,2893,181,116,462,474,4,1420.3546
502699,1601,80,611,859,3045,4,2303.0154
2851226,11107,2673,6445,1632,199,6,495.38104
10117,138,0,10,1455,476,4,1285.2856
634594,530,141,48,1646,0,4,2234.9446
15265,9,2,0,1070,0,5,2151.116
1846220,1868,1087,89,1775,601,3,2234.9373
4368,8,0,6,843,95,1,834.6126
114008,197,39,21,1584,347,7,1722.4325
706078,595,60,190,19,348,2,2977.315
312552,2373,38,50,493,339,7,648.9205
27862,72,7,1,1413,85,5,2613.2432
6465238,14006,2238,655,1240,97,4,2210.872
1249272,18786,392,3080,1753,358,2,1806.26
248512,1647,59,182,62,387,7,1907.9285
6549,37,0,0,1030,180,4,1851.1503
4578,18,3,5,1979,0,7,1642.5353
61454,146,7,18,949,1323,4,1305.8163
14981,407,18,25,1831,107,5,2038.5939
134904,953,96,636,1873,399,2,2718.6465
107827,308,10,120,1553,731,5,1660.4873
352687,3182,174,239,1482,405,3,1298.7292
37973,68,26,9,1030,262,7,2571.0347
13091,20,3,1,1011,251,4,2558.8362
34517,17,4,2,482,63,4,2101.2942
123193,741,31,376,1746,452,2,1555.0104
585483,8479,221,1254,1790,151,7,2127.5532
112981,1018,22,79,815,252,7,2650.2268
101196,92,27,3,520,418,8,1063.0692
50269,1037,66,27,1659,125,7,1774.9589
21138,90,5,28,1952,223,4,2592.6912
1970469,2071,617,356,1011,0,7,2093.78
111111,3252,368,180,1356,601,2,989.7116
96680,510,16,275,1720,319,2,1980.4529
35343,70,17,14,1910,73,4,2136.2356
3908,5,1,0,910,881,5,2552.4265
20466,127,3,3,1037,128,4,511.8023
639,1,0,0,1867,91,4,2163.3103
2517,20,3,2,1056,11,7,2581.8145
27046,95,3,17,996,831,2,2251.9531
10386,16,0,0,1320,199,4,2527.6152
62947,591,13,18,1310,241,7,1755.2408
228880,4716,40,308,1681,188,7,2372.7297
328248,871,64,58,1503,2088,4,2444.2078
374360,1630,272,1549,1840,440,2,2282.1025
337,16,0,4,1742,120,6,2610.2634
588748,4249,109,635,1463,75,4,2455.5532
101420,246,22,33,1259,1280,8,2566.8442
69767,633,76,109,1850,230,5,1753.303
330240,1302,38,164,1799,987,4,1818.1937
11267,34,5,6,1827,300,4,1545.1506
363793,418,52,8,1915,319,4,2675.2456
510021,2558,56,187,1617,421,7,2311.1047
42811,294,3,17,1848,128,5,2043.036
45095,397,30,22,2100,656,6,2666.096
54835,378,13,44,1922,31,2,845.001
1488717,10342,495,2204,1862,1446,8,1426.8079
2670,8,6,1,883,63,6,3012.849
280403,1387,23,25,1454,851,4,1791.7118
678,1,1,2,1979,118,4,1226.2395
25094,85,15,2,1471,61,5,1259.8239
86005,134,16,6,1214,242,7,1019.283
50004,354,19,41,1858,0,4,2321.5317
253029,308,27,9,373,476,4,2009.3812
202415,674,84,43,1197,935,7,1598.6554
2585592,2669,959,372,1957,0,7,2790.2344
34057,242,9,5,1844,985,4,2596.9272
126638,378,16,19,1051,774,4,1090.8883
72133,352,23,8,553,347,6,2185.9658
248186,640,121,25,325,381,6,1729.3134
2394935,1842,927,62,1692,267,4,2174.473
1314,8,0,1,1181,15,4,22.035944
110551,270,27,46,866,223,5,1874.13
127,2,0,0,2024,35,4,21.498491
605288,1325,514,53,1910,160,4,2669.1033
2550,3,1,0,626,465,4,1592.2927
71209,1651,14,144,1821,516,4,1118.2717
38650,270,4,8,1520,705,4,1583.44
3073970,2968,991,409,1066,0,7,1242.3591
2989077,17432,1104,2444,1173,2687,4,2684.197
164943,1338,93,152,1014,0,4,1294.109
17656,12,6,1,525,2584,4,1195.5941
672793,5281,452,289,2045,164,3,2314.3823
64119,95,21,29,655,0,5,2519.8967
42727,39,7,1,340,124,4,957.87085
416151,755,27,81,1566,776,2,1968.6593
257016,201,19,11,1172,887,4,1808.3444
1780,2,4,0,1922,46,4,2244.6135
668377,290,85,6,960,603,4,1720.7407
14946,38,0,6,503,440,7,1681.0585
76892,433,83,81,1598,124,4,1267.3726
42825,1308,332,1385,1885,533,8,2321.4333
1489320,1566,255,278,196,179,4,2368.3564
1581444,4287,593,396,1315,259,4,2220.7349
2859,14,5,2,1246,316,4,2281.8218
82097,249,37,410,1821,448,4,654.999
42485,128,15,15,861,228,7,1682.6045
489,0,0,0,886,71,4,752.70807
227523,182,22,3,440,64,4,2723.39
459161,360,62,35,1280,0,7,2398.9685
219954,3578,80,1816,1917,444,4,976.0271
77262,234,22,16,1603,233,4,1740.2751
2399,33,2,30,1635,196,4,2141.7002
66734,166,41,10,686,1260,7,1969.0975
1630313,1311,309,62,917,206,5,21.498491
58197,167,5,8,230,424,4,2261.0127
1283,42,2,7,1825,124,7,2278.8657
889,15,0,0,1903,352,4,2193.3914
24902,95,35,39,758,894,6,308.4801
1572340,778,383,54,1164,560,7,2299.7693
